Date,Open,High,Low,Close,Volume,change (%)
2021/01/01,28994.00977,29600.62695,28803.58594,29374.15234,40730301359,1.311
2021/01/02,29376.45508,33155.11719,29091.18164,32127.26758,67865420765,9.364
2021/01/03,32129.4082,34608.55859,32052.31641,32782.02344,78665235202,2.031
2021/01/04,32810.94922,33440.21875,28722.75586,31971.91406,81163475344,-2.557
2021/01/05,31977.04102,34437.58984,30221.1875,33992.42969,67547324782,6.303
2021/01/06,34013.61328,36879.69922,33514.03516,36824.36328,75289433811,8.264
2021/01/07,36833.875,40180.36719,36491.19141,39371.04297,84762141031,6.888
2021/01/08,39381.76563,41946.73828,36838.63672,40797.60938,88107519480,3.595
2021/01/09,40788.64063,41436.35156,38980.875,40254.54688,61984162837,-1.309
2021/01/10,40254.21875,41420.19141,35984.62891,38356.44141,79980747690,-4.714
2021/01/11,38346.53125,38346.53125,30549.59961,35566.65625,1.23E+11,-7.249
2021/01/12,35516.35938,36568.52734,32697.97656,33922.96094,74773277909,-4.486
2021/01/13,33915.12109,37599.96094,32584.66797,37316.35938,69364315979,10.029
2021/01/14,37325.10938,39966.40625,36868.5625,39187.32813,63615990033,4.989
2021/01/15,39156.70703,39577.71094,34659.58984,36825.36719,67760757881,-5.954
