,sentiment_textblob_movie
0,Positive
1,Negative
2,Negative
3,Positive
4,Negative
5,Positive
6,Positive
7,Positive
8,Positive
9,Positive
10,Positive
11,Negative
12,Negative
13,Negative
14,Positive
15,Positive
16,Negative
17,Positive
18,Negative
19,Positive
20,Positive
21,Negative
22,Positive
23,Positive
24,Positive
25,Negative
26,Positive
27,Negative
28,Positive
29,Positive
30,Negative
31,Positive
32,Positive
33,Positive
34,Positive
35,Negative
36,Positive
37,Positive
38,Negative
39,Positive
40,Negative
41,Positive
42,Positive
43,Negative
44,Positive
45,Negative
46,Positive
47,Positive
48,Positive
49,Positive
50,Negative
51,Positive
52,Negative
53,Negative
54,Positive
55,Positive
56,Positive
57,Positive
58,Positive
59,Positive
60,Positive
61,Positive
62,Positive
63,Positive
64,Negative
65,Positive
66,Positive
67,Positive
68,Negative
69,Negative
70,Negative
71,Positive
72,Negative
73,Negative
74,Negative
75,Positive
76,Positive
77,Positive
78,Negative
79,Negative
80,Positive
81,Negative
82,Positive
83,Negative
84,Positive
85,Positive
86,Positive
87,Negative
88,Positive
89,Positive
90,Positive
91,Negative
92,Positive
93,Positive
94,Negative
95,Positive
96,Negative
97,Positive
98,Positive
99,Positive
100,Negative
101,Negative
102,Positive
103,Positive
104,Positive
105,Positive
106,Negative
107,Positive
108,Positive
109,Positive
110,Negative
111,Positive
112,Positive
113,Negative
114,Positive
115,Positive
116,Positive
117,Negative
118,Positive
119,Negative
120,Positive
121,Positive
122,Positive
123,Positive
124,Positive
125,Positive
126,Positive
127,Negative
128,Positive
129,Positive
130,Positive
131,Negative
132,Negative
133,Positive
134,Positive
135,Positive
136,Negative
137,Positive
138,Positive
139,Negative
140,Positive
141,Positive
142,Positive
143,Negative
144,Negative
145,Negative
146,Positive
147,Positive
148,Positive
149,Negative
150,Negative
151,Positive
152,Positive
153,Negative
154,Positive
155,Positive
156,Positive
157,Positive
158,Negative
159,Positive
160,Positive
161,Positive
162,Negative
163,Positive
164,Positive
165,Negative
166,Negative
167,Positive
168,Positive
169,Positive
170,Positive
171,Negative
172,Positive
173,Positive
174,Positive
175,Positive
176,Positive
177,Positive
178,Positive
179,Negative
180,Positive
181,Positive
182,Positive
183,Positive
184,Positive
185,Negative
186,Negative
187,Positive
188,Positive
189,Positive
190,Positive
191,Positive
192,Negative
193,Negative
194,Negative
195,Negative
196,Positive
197,Positive
198,Positive
199,Positive
200,Positive
201,Negative
202,Positive
203,Positive
204,Positive
205,Positive
206,Negative
207,Positive
208,Negative
209,Positive
210,Positive
211,Positive
212,Negative
213,Negative
214,Negative
215,Positive
216,Positive
217,Negative
218,Negative
219,Positive
220,Negative
221,Positive
222,Positive
223,Positive
224,Positive
225,Positive
226,Positive
227,Positive
228,Negative
229,Negative
230,Positive
231,Positive
232,Positive
233,Positive
234,Positive
235,Positive
236,Positive
237,Positive
238,Negative
239,Negative
240,Positive
241,Positive
242,Negative
243,Positive
244,Negative
245,Positive
246,Negative
247,Positive
248,Positive
249,Negative
250,Negative
251,Positive
252,Positive
253,Negative
254,Positive
255,Negative
256,Positive
257,Positive
258,Positive
259,Negative
260,Positive
261,Negative
262,Positive
263,Positive
264,Positive
265,Positive
266,Negative
267,Positive
268,Positive
269,Positive
270,Positive
271,Positive
272,Positive
273,Positive
274,Positive
275,Positive
276,Positive
277,Positive
278,Positive
279,Negative
280,Positive
281,Positive
282,Positive
283,Positive
284,Negative
285,Negative
286,Negative
287,Positive
288,Positive
289,Negative
290,Negative
291,Negative
292,Positive
293,Positive
294,Positive
295,Positive
296,Negative
297,Positive
298,Negative
299,Negative
300,Negative
301,Positive
302,Negative
303,Positive
304,Negative
305,Negative
306,Negative
307,Positive
308,Positive
309,Positive
310,Negative
311,Positive
312,Positive
313,Positive
314,Positive
315,Negative
316,Positive
317,Positive
318,Positive
319,Positive
320,Positive
321,Positive
322,Positive
323,Positive
324,Negative
325,Positive
326,Positive
327,Positive
328,Positive
329,Positive
330,Negative
331,Negative
332,Negative
333,Negative
334,Positive
335,Positive
336,Positive
337,Negative
338,Negative
339,Negative
340,Positive
341,Positive
342,Negative
343,Negative
344,Negative
345,Negative
346,Negative
347,Negative
348,Positive
349,Positive
350,Positive
351,Negative
352,Positive
