positive,"Bitcoin hits alltime high against gold as haven battle rages "
negative,"The Accused Fraudster Behind the Bitcoin Boom "
positive,"Bitcoin supply squeeze heats up as Grayscale buys nearly 3x the BTC mined in December "
positive,"Best Ways to Buy Bitcoin on Crypto.com "
positive,"'Noxious Poison'  Bitcoin's Market Cap Surpasses Warren Buffet's Berkshire Hathaway Valuation – Finance Bitcoin News "
negative,"How much Bitcoin is left for retail traders; who pays the price of Bitcoin that institutions control? "
positive,"Bitcoin soars past $33,000, its highest ever "
positive,"Bitcoin Climbs Above $33,000 For The First Time Ever "
positive,"How massive Bitcoin buyer activity on Coinbase propelled BTC price past $32K "
positive,"Bitcoin Just Broke $600 Billion—Will It Soon Eclipse Tesla, Facebook, Google, Microsoft, Amazon And Apple? "
positive,"Bitcoin price quickly climbs to $31K, liquidating $100M of shorts "
positive,"Bitcoin Value Leaps Over the $31K Handle, BTC Sees an AllTime Price High in 2021 – Market Updates Bitcoin News "
positive,"Want To Invest In Bitcoin? Check Out These Secure Bitcoin Exchanges "
negative,"Data Shows 78% of the Circulating Bitcoin Supply Is Illiquid, Only 4.2M BTC in Constant Circulation – Economics Bitcoin News "
positive,"BTC to Gold Exchange Rate Surges to New All Time High of 17 Ounces per Bitcoin – Markets and Prices Bitcoin News "
positive,"Pro Football Star Receives Half of His $13 Million Salary in Bitcoin – Featured Bitcoin News "
positive,"Binance CEO Predicts that in 2021 Bitcoin (BTC) and Other Digital Assets will Keep Rising and be at "
positive,"Happy Birthday, Bitcoin! 2021 Is Your Year "
positive,"Day after hitting record high, investors keep betting on Bitcoin "
neutral,"12 years since the Genesis block: A reminder of what Bitcoin is really about "
positive,"Bitcoin Jumps to Record $34,800 Following 800 Percent Surge Since March "
positive,"Cannabis Dealer Forfeits $3 Million in Bitcoin — 6000 More BTC Still Missing – Regulation Bitcoin News "
positive,"From Stocks to Bitcoin, Investors Bet the ‘Everything Rally’ Will Continue "
negative,"Stocks and bitcoin are massive bubbles, longtime bear David Rosenberg warns "
positive,"Bitcoin Soars past $34k as RecordBreaking Rally Continues "
negative,"The Russian Energy Giant Mining Bitcoin With Virtually Free Energy "
positive,"Miami's Mayor Considers Putting Some of City's Treasury Reserves in Bitcoin – Regulation Bitcoin News "
positive,"Can't Keep a Good Dog Down: Meme Token Dogecoin Spiked Over 500% This Year – Altcoins Bitcoin News "
positive,"This Is What Global OpenSource Money Seems Like "
negative,"Bitcoin (BTC USD) Latest News, Quote: Prices Sink With XRP, Ether "
positive,"Bitcoin is skyrocketing. What does it mean for investors? "
positive,"Bitcoin price surge delivers this powerful message to naysayers: expert "
positive,"What's driving the bitcoin mania "
negative,"Bitcoin prices could really go haywire if this happens in 2021 "
negative,"Bitcoin's bubble could burst, warns Anthony Scaramucci. But he's still a megabull "
positive,"Bitcoin is due for a pullback, but institutions will buy the dip, Novogratz says "
positive,"New Year brings glad tidings of the Bitcoin ‘stimmy’ trade "
negative,"Anonymous Bitcoin User Transfers 9,156 BTC Just before the Crash "
positive,"Where Jim Cramer Would Buy Bitcoin After the Dip "
positive,"VanEck Tries To Launch Bitcoin ETF (Again) "
positive,"Kim Dotcom's NextGeneration ContentMonetization Service K.IM Announces Bitcoin Cash Integration "
positive,"How central banks boosted bitcoin "
positive,"Value of Bitcoin and other digital currencies continue meteoric rise "
positive,"Why Bitcoin Believers Could Be Proved Right In 2021 As The Bitcoin Price Continues To Climb "
positive,"Here's how bitcoin could soon be worth $146,000 according to JPMorgan "
positive,"Bitcoin Trades Near AllTime High After Latest Gains "
positive,"7 Misconceptions About Bitcoin "
n,"The New Cycle of Bitcoin Over the Next 4 Years "
positive,"What The Lindy Effect Teaches Us About Bitcoin’s Rally "
positive,"Gamblers Could Use Bitcoin at Slot Machines With New Patent "
positive,"Anthony Scaramucci's SkyBridge Launches Bitcoin Fund "
positive,"CoinDesk Buys TradeBlock, Joining Rush for Bitcoin Analytics "
positive,"Is bitcoin winning over the establishment? "
positive,"The institutional herd is here: Bitcoin volume on CME, LMAX hits new records "
positive,"JPMorgan sees $146,000plus bitcoin price as longterm target "
positive,"Bitcoin hits new highs due to stimulus check investing "
positive,"Bitcoin and Ethereum Price Forecasts 2021: Crypto CEO Sees 100% Upside "
