Date,Headline
2019-01-01,Darwin rugby league player uses bitcoin to buy hundreds of MDMA pills on dark web 
2019-01-01,"While Bitcoin ‘Died’ 90 Times In 2018, There Are Almost 1000 ‘Dead’ Altcoins, Data Shows "
2019-01-01,"Crypto Market Update Jan.1: New Year, New Hope? An Extended 2019 Market Overview & Forecast "
2019-01-02,Hackers Threaten to Dump 9/11 Related Insurance Files If Ransom Not Paid In Bitcoin 
2019-01-02,"Marketing Was A Driving Force In The ICO Hype And Crypto Crash, And May Lead Its Rebirth "
2019-01-02,The January Effect and New Capital: Why Bitcoin (BTC) and other Cryptos Are in the Green - Ethereum World News 
2019-01-03,"Cardano most actively developed cryptocurrency in 2018, bitcoin not even in top 50 "
2019-01-03,Bluewallet Lets You Send Bitcoin Lightning Payments from Your iPhone | Bitcoinist.com 
2019-01-03,BTC Price Historic Yearly Lows Reveal How Bitcoin 'Hodlers' Are Created | Bitcoinist.com 
2019-01-04,Bitcoin SV (BSV) mines world record 103MB block on 10th anniversary of Bitcoin genesis block 
2019-01-04,"Crypto Is Tightening Up Its Anti-Money Laundering Game, While Banks Are Still Being Fined for Non-Compliance "
2019-01-04,"Ternio Introduces CryptoCurrency BlockCard™ Enabling Users to Spend Bitcoin, Ethereum, and Stellar Lumens Anywhere Credit Cards Accepted. "
2019-01-05,TRON Cryptocurrency (TRX) Plows into the Green as Bitcoin Price Stagnates 
2019-01-05,Texas Updates Regulatory Guidance Regarding Activities Involving Cryptocurrency 
2019-01-05,Bitcoin SV Starts 2019 With a New Logo Which Imitates Bitcoin's Appearance - Ethereum World News 
2019-01-06,Crypto Exchange Kraken Received 475 Disclosure Requests from Regulators in 2018 
2019-01-06,"Outlook for the Top 5 Cryptocurrencies by Market Cap in 2019: Bitcoin, Ethereum, XRP, Bitcoin Cash & EOS "
2019-01-06,Davincij15 (Predictor of the Bitcoin Revolution Back in 2011) Presents a New Cryptocurrency Ranking System - 
2019-01-07,Coinhako becomes the first crypto platform in the world to offer 100 fiat-crypto pairings 
2019-01-07,NANO and BitGrail Hit by Another Class Action Lawsuit Related to Crypto Theft that Allegedly Saw $153 
2019-01-07,"Altibase is Adopted by CoreDAX, a Cryptocurrency Exchange, for Management of Key IT Functions of Matching, Data Distribution and Ledgers "
