Date,score
2019-01-01,-0.00048087707499152216
2019-01-02,-0.017033510697996374
2019-01-03,0.005115767276458831
2019-01-04,-0.00996932417408943
2019-01-05,-0.010384395997076004
2019-01-06,-0.019929370942286712
2019-01-07,-0.007018544046722715
2019-01-08,0.00284228729191068
2019-01-09,-0.005666997637528389
2019-01-10,0.007227037715565469
2019-01-11,0.0055662853627871005
2019-01-12,-0.009329470126586728
2019-01-13,-0.020142719608842768
2019-01-14,-0.007630106868287985
2019-01-15,0.0004166988118442516
2019-01-16,-0.01164711609632755
2019-01-17,-0.00568426633553402
2019-01-18,-0.003817055578878903
2019-01-19,-0.027939301426234648
2019-01-20,-0.013516227315601129
2019-01-21,-0.018487006097140046
2019-01-22,-0.006443355765402632
2019-01-23,-0.0018366181693105037
2019-01-24,-0.006184637933899968
2019-01-25,-0.01858684998729983
2019-01-26,0.006896381563161931
2019-01-27,-0.021856913867432087
2019-01-28,0.0059519713425575755
2019-01-29,-0.020450290230170493
2019-01-30,-0.0028309520761872578
2019-01-31,-0.016581139816935802
2019-02-01,-0.012995840255256982
2019-02-02,-0.013018007221466213
2019-02-03,-0.014029618620638784
2019-02-04,-0.011493672817711334
2019-02-05,-0.01287764501121865
2019-02-06,-0.01152506658981082
2019-02-07,-0.009120028993437113
2019-02-08,-0.014676764455063237
2019-02-09,-0.0042109385672432316
2019-02-10,-0.009300793016555545
2019-02-11,0.0031700997712757286
2019-02-12,-0.015685045591591413
2019-02-13,0.003861884514891556
2019-02-14,-0.012704267116154985
2019-02-15,-0.017330217738910043
2019-02-16,-0.01579354125845552
2019-02-17,-0.02122545445994739
2019-02-18,-0.01331710984733118
2019-02-19,-0.004060056878627612
2019-02-20,-0.01080450229644007
2019-02-21,-0.009099533722308392
2019-02-22,-0.005984224378958181
2019-02-23,-0.0028203187733062776
2019-02-24,-0.006875628101687477
2019-02-25,-0.004459072560421107
2019-02-26,-0.02633253468798258
2019-02-27,-0.0025881588807007416
2019-02-28,-0.002790980253275399
2019-03-01,-0.013527876784848902
2019-03-02,-0.014911754167191557
2019-03-03,-0.011127712624280509
2019-03-04,-0.008295537007403153
2019-03-05,0.013501776968300313
2019-03-06,-0.0162952215298993
2019-03-07,-0.009493089396593287
2019-03-08,-0.005442523752520079
2019-03-09,-0.0032601371921305855
2019-03-10,-0.02047236811151894
2019-03-11,0.0189602136674127
2019-03-12,-0.005105900303079706
2019-03-13,-0.002636885745706752
2019-03-14,-0.007450914108217003
2019-03-15,-0.020101883315965147
2019-03-16,-0.011697182687882815
2019-03-17,-0.0036743270704123012
2019-03-18,-0.007564620541808509
2019-03-19,-0.006674516058697695
2019-03-20,-0.0001350874110915464
2019-03-21,-0.0028915550523777775
2019-03-22,-0.009495768259852877
2019-03-23,-0.0005464576148987247
2019-03-24,0.001418827129051096
2019-03-25,-0.024062489632779165
2019-03-26,-0.010481437395195914
2019-03-27,-0.005283724311726708
2019-03-28,-0.006277946320259538
2019-03-29,-0.00011710887858988143
2019-03-30,-0.010498151029211552
2019-03-31,-0.016942449760963225
2019-04-01,-0.013646986626764593
2019-04-02,-0.002912821886926357
2019-04-03,-0.0150400611673851
2019-04-04,-0.001505010546190455
2019-04-05,-0.005294380682836793
2019-04-06,-0.001529546988424002
2019-04-07,-0.005193422520828365
